date,username,fulltext
2022-03-08 13:58:51,rachkless,"👱🏻‍♀️ Mi dulu waktu aku lahir, dokternya bilang apa?

👩🏻 Bisik-bisik “Ya Allah, mukanya mana ini ga ada mukanya” soalnya kamu kan lahirnya pantat duluan"
2022-03-08 13:58:29,wainnse,"Haduh² seketika vibesnya berada di drama medis, yixing yg jadi dokternya aksjsjssh sabi lah suatu saat ngambil project yg semacam ginian😁 https://t.co/2mvglE016G"
2022-03-08 13:51:01,jaehcee,@Askrlfess tapi pasti ntar diedukasi dokternya baiknya gimanaaa demi nilai fungsi atau kesehatan dan estetika
2022-03-08 13:50:46,ehkamuknp,@Askrlfess aku abis copot geraham kanan kiri trs kata dokternya emng harus diganti gigi baru soalnya nnti rahang atasnya tuh turun karna geraham kita dh gaada
2022-03-08 13:50:27,miciww,"@dian_inidian HAHAHAHAHAH maap anda tidak lulus uji kebucinan😂😂😂 bener2 deh al, gue rasa susternya dlm hati juga ""anjir gue tengah malem kerja cm liat org bucin doang"""
2022-03-08 13:50:18,princesshyuna89,bu dokternya kenapa bikin takut??
2022-03-08 13:49:53,ofChaey,"@yirenm sayangnya, dokternya yang banyak afk, mafia sama polisinya on semua"
2022-03-08 13:47:39,thusmyg,"@allohomoraa Aku ngga kok, dulu habis tambal gigi ngga ngilu sama sekali, cuma rada ganjel aja. Coba kamu tanyain lagi ke dokternya"
2022-03-08 13:46:35,miciww,Susternya ga mau resign aja liat bucin satu ini mah liat ayangnya mulu?😭
2022-03-08 13:46:35,castelution,"gue ada jadwal check up ke dokter gt kan, terus dokternya tuh blg bakalan di wa bulan april. INI KAN MASIH MARET YA TP MAK GUE UDAH NANYAIN MULU KOK BLM DI WA. wkwkwk pasti grgr dokternya ganteng🥲🥲"
2022-03-08 13:45:56,Ida_Farianda,"@liskenhsitorus @ed_tirta Sayangnya dokternya udah uzur umurnya,tapi nyentrik penampilannya 😁😁"
